WIG20_MAX_DIF;WIG20_MAX_PRC;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Max_DIF;FTSE 100_Max_PRC;FTSE 100_Min;FTSE 100_Min_DIF;Dow Jones_Max;Dow Jones_Max_PRC;Dow Jones_Max_DIF;Dow Jones_Min;Dow Jones_Min_DIF;DAX_Max;DAX_Max_PRC;DAX_Max_DIF;DAX_Min;DAX_Min_DIF;SMI_Max;SMI_Max_PRC;SMI_Max_DIF;SMI_Min;SMI_Min_DIF;CAC40_Max;CAC40_Max_PRC;CAC40_Max_DIF;CAC40_Min;CAC40_Min_DIF;FTSE MIB_Max;FTSE MIB_Max_PRC;FTSE MIB_Max_DIF;FTSE MIB_Min;FTSE MIB_Min_DIF;GBP/PLN_Max.;GBP/PLN_Max._PRC;GBP/PLN_Max._DIF;GBP/PLN_Min.;GBP/PLN_Min._DIF;USD/PLN_Max.;USD/PLN_Max._PRC;USD/PLN_Max._DIF;USD/PLN_Min.;USD/PLN_Min._DIF;EUR/PLN_Max.;EUR/PLN_Max._PRC;EUR/PLN_Max._DIF;EUR/PLN_Min.;EUR/PLN_Min._DIF;CHF/PLN_Max.;CHF/PLN_Max._PRC;CHF/PLN_Max._DIF;CHF/PLN_Min.;CHF/PLN_Min._DIF
-25,22;;1776,98;1762,64;;;;;;33387,12;;9,77;33069,58;197,43;14063,14;;44,67;13966,35;51,73;10876,38;;21,48;10817,48;14,38;6579,33;;7,21;6543,26;37,59;24081,45;;167,98;;;5,32;;-0,03;5,26;-0,02;4,42;;-0,01;4,35;-0,04;4,7;;-0,01;4,64;-0,04;4,76;;-0,02;4,68;-0,05
15,84;0,008914;1792,82;1769,41;7496,4;;;7462,8;;33225,83;-0,004830905;-161,29;32815,26;-254,32;14000,68;-0,004441398;-62,46;13874,5;-91,85;10843,73;-0,003001918;-32,65;10761,29;-56,19;6533,58;-0,006953596;-45,75;6476,05;-67,21;23938,36;-0,005941918;-143,09;23772,87;;5,29;-0,005639098;-0,03;5,26;0;4,39;-0,00678733;-0,03;4,36;0,01;4,65;-0,010638298;-0,05;4,63;-0,01;4,71;-0,010504202;-0,05;4,68;0
-10,06;-0,005611;1782,76;1774,71;7540,31;43,91;0,005857;7463,54;0,74;33233,35;0,00022633;7,52;32573,43;-241,83;14160,87;0,011441587;160,19;13890,54;16,04;10890,43;0,004306636;46,7;10760,44;-0,85;6614,35;0,012362288;80,77;6503,88;27,83;24191,81;0,010587609;253,45;23786,29;13,42;5,32;0,005671078;0,03;5,25;-0,01;4,4;0,002277904;0,01;4,37;0,01;4,66;0,002150538;0,01;4,64;0,01;4,75;0,008492569;0,04;4,7;0,02
13,29;0,007455;1796,05;1754,46;7498,48;-41,83;-0,005548;7368,72;-94,82;33437,84;0,006153156;204,49;33028,09;454,66;14099,75;-0,004316119;-61,12;13912,17;21,63;10845,59;-0,004117376;-44,84;10690,97;-69,47;6586,48;-0,004213566;-27,87;6467,57;-36,31;24111,97;-0,00330029;-79,84;23757,35;-28,94;5,36;0,007518797;0,04;5,3;0,05;4,41;0,002272727;0,01;4,37;0;4,68;0,004291845;0,02;4,65;0,01;4,75;0;0;4,73;0,03
-9,49;-0,005284;1786,56;1724,41;7389,92;-108,56;-0,014478;7302,82;-65,9;32991,3;-0,013354331;-446,54;32650,61;-377,48;13931,29;-0,01194773;-168,46;13791,52;-120,65;10728,77;-0,010771198;-116,82;10659,19;-31,78;6468,94;-0,017845647;-117,54;6388,23;-79,34;23758,6;-0,014655377;-353,37;23353,17;-404,18;5,39;0,005597015;0,03;5,33;0,03;4,43;0,004535147;0,02;4,39;0,02;4,7;0,004273504;0,02;4,67;0,02;4,77;0,004210526;0,02;4,74;0,01
-23,36;-0,013075;1763,2;1737,5;7385,38;-4,54;-0,000614;7332,12;29,3;33038,45;0,001429165;47,15;32582,22;-68,39;14001,37;0,005030403;70,08;13927,05;135,53;10837,94;0,010175444;109,17;10760,27;101,08;6510,46;0,006418362;41,52;6470,93;82,7;23911,84;0,006449875;153,24;23660,58;307,41;5,4;0,001855288;0,01;5,36;0,03;4,44;0,002257336;0,01;4,4;0,01;4,7;0;0;4,67;0;4,76;-0,002096436;-0,01;4,72;-0,02
-8,93;-0,005065;1754,27;1726,58;7429,29;43,91;0,005946;7305,72;-26,4;33166,46;0,003874576;128,01;32654,64;72,42;14011,26;0,000706359;9,89;13815,24;-111,81;10913,65;0,006985645;75,71;10746,37;-13,9;6515,7;0,000804859;5,24;6418,95;-51,98;23814,76;-0,004059913;-97,08;23505,34;-155,24;5,4;0;0;5,35;-0,01;4,43;-0,002252252;-0,01;4,4;0;4,7;0;0;4,68;0,01;4,76;0;0;4,73;0,01
1,62;0,000923;1755,89;1746,02;7495,93;66,64;0,008970;7411,07;105,35;33773;0,018287752;606,54;33016,45;361,81;14363,12;0,025112659;351,86;13982,59;167,35;11093,14;0,016446377;179,49;10880,14;133,77;6680,22;0,025249781;164,52;6503;84,05;24480,57;0,027957872;665,81;23726,05;220,71;5,45;0,009259259;0,05;5,37;0,02;4,44;0,002257336;0,01;4,37;-0,03;4,7;0;0;4,68;0;4,77;0,00210084;0,01;4,72;-0,01
23,01;0,013104;1778,9;1778,37;7504,49;8,56;0,001142;7461,68;50,61;34395,38;0,01842833;622,38;33710,64;694,19;14470,74;0,007492801;107,62;14375,95;393,36;11175,45;0,007419901;82,31;11079,52;199,38;6733,85;0,008028179;53,63;6694,33;191,33;24666,68;0,007602356;186,11;24514,09;788,04;5,48;0,005504587;0,03;5,43;0,06;4,44;0;0;4,38;0,01;4,72;0,004255319;0,02;4,67;-0,01;4,77;0;0;4,73;0,01
14,12;0,007937;1793,02;1742,11;7553,36;48,87;0,006512;7428,98;-32,7;34711,63;0,009194549;316,25;33896,8;186,16;14675,84;0,014173429;205,1;14302,49;-73,46;11223,47;0,004296919;48,02;11014,16;-65,36;6823,1;0,013253933;89,25;6642,09;-52,24;24899,2;0,009426481;232,52;24292,39;-221,7;5,51;0,005474453;0,03;5,45;0,02;4,46;0,004504505;0,02;4,39;0,01;4,73;0,002118644;0,01;4,68;0,01;4,78;0,002096436;0,01;4,73;0
