ID;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Min;Dow Jones_Max;Dow Jones_Min;DAX_Max;DAX_Min;SMI_Max;SMI_Min;CAC40_Max;CAC40_Min;FTSE MIB_Max;FTSE MIB_Min;GBP/PLN_Max;GBP/PLN_Min;USD/PLN_Max;USD/PLN_Min;EUR/PLN_Max;EUR/PLN_Min;CHF/PLN_Max;CHF/PLN_Min
1;1797,86;1786,56;7512,92;7451,74;33149,56;32848,07;14008,97;13922,55;10830,36;10729,4;6540,51;6470,64;23956,21;23702,2;5,316;5,2659;4,4141;4,3622;4,6982;4,6695;4,7743;4,7422
2;1802,2;1763,44;7516,36;7434,64;33292,97;33021,43;14071,72;13871,32;10869,9;10737,9;6577,08;6474,73;24064,64;23645;5,33;5,2782;4,4275;4,3747;4,7067;4,6706;4,7838;4,7258
3;1776,98;1757,71;7547;7473,01;33377,35;32872,15;14018,47;13914,62;10854,9;10803,1;6572,12;6505,67;23913,47;23721,01;5,35;5,2822;4,4296;4,3933;4,7112;4,6761;4,7779;4,6771
4;1792,82;1762,64;;;33387,12;33069,58;14063,14;13966,35;10876,38;10817,48;6579,33;6543,26;24081,45;;5,32;5,2592;4,4246;4,3539;4,699;4,6398;4,757;4,6757
5;1782,76;1769,41;7496,4;7462,8;33225,83;32815,26;14000,68;13874,5;10843,73;10761,29;6533,58;6476,05;23938,36;23772,87;5,2923;5,2573;4,3868;4,3628;4,6535;4,633;4,7126;4,7007
6;1796,05;1774,71;7540,31;7463,54;33233,35;32573,43;14160,87;13890,54;10890,43;10760,44;6614,35;6503,88;24191,81;23786,29;5,3189;5,2505;4,3959;4,3659;4,6649;4,635;4,7454;4,7274
7;1786,56;1754,46;7498,48;7368,72;33437,84;33028,09;14099,75;13912,17;10845,59;10690,97;6586,48;6467,57;24111,97;23757,35;5,3635;5,299;4,4068;4,3749;4,6791;4,6487;4,7528;4,737
8;1763,2;1724,41;7389,92;7302,82;32991,3;32650,61;13931,29;13791,52;10728,77;10659,19;6468,94;6388,23;23758,6;23353,17;5,3911;5,3309;4,4335;4,3875;4,6986;4,6672;4,7726;4,7235
9;1754,27;1737,5;7385,38;7332,12;33038,45;32582,22;14001,37;13927,05;10837,94;10760,27;6510,46;6470,93;23911,84;23660,58;5,3995;5,3617;4,4385;4,3974;4,6991;4,6728;4,7646;4,7299
10;1755,89;1726,58;7429,29;7305,72;33166,46;32654,64;14011,26;13815,24;10913,65;10746,37;6515,7;6418,95;23814,76;23505,34;5,4002;5,3463;4,4301;4,3955;4,7045;4,6796;4,7649;4,723
11;1778,9;1746,02;7495,93;7411,07;33773;33016,45;14363,12;13982,59;11093,14;10880,14;6680,22;6503;24480,57;23726,05;5,4549;5,3702;4,4366;4,3687;4,7047;4,6764;4,7689;4,7318
12;1793,02;1778,37;7504,49;7461,68;34395,38;33710,64;14470,74;14375,95;11175,45;11079,52;6733,85;6694,33;24666,68;24514,09;5,4783;5,4287;4,4365;4,3785;4,7154;4,667;4,7742;4,7314
13;1803,6;1742,11;7553,36;7428,98;34711,63;33896,8;14675,84;14302,49;11223,47;11014,16;6823,1;6642,09;24899,2;24292,39;5,5058;5,4453;4,4618;4,3948;4,7256;4,6782;4,7763;4,7505
14;1759,39;1714,22;7476,63;7438,87;34004,81;33545,5;14366,39;14262,6;11050,3;10989,77;6681,3;6634,97;24352,55;24132,58;5,4756;5,4412;4,4728;4,4332;4,7035;4,6803;4,7764;4,7315
15;1735,76;1717;7498,04;7431,44;33844,56;33465,57;14385,57;14217,96;11101,33;10980,8;6680,09;6618,27;24333,38;23940,98;5,4878;5,4199;4,4636;4,4194;4,7028;4,6656;4,7825;4,7283
16;1735,41;1715,72;7507,98;7469,12;33898,46;33643,05;14298,81;14196,77;11035,96;10940,27;6679,57;6629,36;24299,84;24103,31;5,462;5,4146;4,483;4,4317;4,7055;4,6771;4,7607;4,7375
17;1739,05;1720,19;7567,23;7489,19;33773,78;33505,36;14372,35;14218,18;11077,77;11000,64;6696,65;6642,44;24428,77;24155,42;5,4672;5,431;4,4966;4,4529;4,7116;4,6831;4,7767;4,7391
18;1741,86;1722,72;7567,64;7521,39;34005,32;33418,59;14471,5;14305,26;11208,11;11085,28;6704,74;6656,93;24582,29;24265,45;5,4885;5,4313;4,506;4,4548;4,7234;4,6852;4,7723;4,719
19;1766,04;1738,95;7598,21;7547,76;34270,09;33847,05;14507,16;14394,37;11239,76;11170,93;6738,97;6685,52;24674,02;24495,36;5,479;5,431;4,4975;4,4124;4,7217;4,6645;4,7754;4,7276
