ID;Data;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Min;Dow Jones_Max;Dow Jones_Min;DAX_Max;DAX_Min;SMI_Max;SMI_Min;CAC40_Max;CAC40_Min;FTSE MIB_Max;FTSE MIB_Min;GBP/PLN_Max.;GBP/PLN_Min.;USD/PLN_Max.;USD/PLN_Min.;EUR/PLN_Max.;EUR/PLN_Min.;CHF/PLN_Max.;CHF/PLN_Min.
1;20.01.2011;2756,31;2723,58;5966;5863,8;11845,16;11744,77;7084,24;7008,62;6543,81;6471,87;3989,03;3950,3;21979,65;21648,56;4,64;4,57;2,92;2,87;3,92;3,85;3,04;2,98
2;21.01.2011;2745,29;2697,41;5939,5;5871,5;11905,48;11822,8;7122,89;7023,69;6595,71;6517,04;4057,97;3979,24;22316,43;21870,76;4,66;4,53;2,9;2,84;3,95;3,85;3,03;2,95
3;24.01.2011;2742,72;2692,02;5960,5;5886,5;11982,94;11867,98;7089,62;7000,41;6612,51;6547,71;4037,9;4002,72;22252,33;21958,79;4,58;4,52;2,87;2,83;3,9;3,85;3;2,94
4;25.01.2011;2734,76;2697,1;5964,4;5903,3;11985,97;11898,74;7102,08;7043,64;6623,36;6578,29;4056,69;4016,5;22291,02;21858,18;4,55;4,47;2,86;2,82;3,89;3,85;3,02;2,97
5;26.01.2011;2725,17;2688,09;6002,5;5944,8;12020,52;11961,83;7160,86;7087,25;6615,93;6579,69;4066,41;4039,59;22174,89;21936,62;4,52;4,44;2,85;2,82;3,9;3,85;3,02;2,98
6;27.01.2011;2730,39;2696,89;5997,8;5947,8;12019,53;11971,93;7180,15;7114,35;6585,78;6541,25;4079,3;4032,11;22412,65;21858,12;4,54;4,48;2,85;2,82;3,92;3,86;3,03;2,99
7;28.01.2011;2708,57;2660,51;5950,9;5875,5;12012,42;11803,04;7177,23;7102,8;6593,23;6528,13;4072,64;4002,32;22459,34;22007,37;4,62;4,48;2,91;2,84;3,96;3,87;3,09;2,98
8;31.01.2011;2742,2;2708,82;5881,5;5814,3;11891,93;11817,88;7107,37;7033,09;6514,17;6467,25;4018,51;3953,18;22210,88;21715,48;4,62;4,55;2,91;2,86;3,96;3,9;3,12;3,02
9;01.02.2011;2759,27;2717,28;5964,5;5872;12050,75;11892,5;7190,75;7105,31;6571,59;6492,78;4078,48;4019,34;22525,59;21997,84;4,62;4,54;2,87;2,82;3,95;3,88;3,05;2,99
10;02.02.2011;2750,69;2725,35;6020;5968,5;12057,91;12018,51;7222,13;7160,36;6587,16;6512,19;4089,64;4049,74;22715,66;22515,14;4,6;4,52;2,84;2,81;3,92;3,88;3,04;2,99
11;03.02.2011;2766,02;2728,82;5996,3;5950,5;12080,54;11981,05;7198,98;7144,08;6564,28;6519,7;4059,25;4009,12;22758,03;22317,71;4,64;4,57;2,87;2,82;3,92;3,88;3,04;2,99
12;04.02.2011;2763,01;2741,18;6024,5;5985,3;12092,42;12025,78;7226,64;7186,24;6589,14;6552,91;4059,63;4026,92;22717,1;22549,24;4,65;4,58;2,87;2,85;3,92;3,86;3,04;2,98
