ID;Data;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Max_1;FTSE 100_Max_2;FTSE 100_Max_3;FTSE 100_Max_4;FTSE 100_Max_5;FTSE 100_Min;FTSE 100_Min_1;FTSE 100_Min_2;FTSE 100_Min_3;FTSE 100_Min_4;FTSE 100_Min_5;Dow Jones_Max;Dow Jones_Max_1;Dow Jones_Max_2;Dow Jones_Max_3;Dow Jones_Max_4;Dow Jones_Max_5;Dow Jones_Min;Dow Jones_Min_1;Dow Jones_Min_2;Dow Jones_Min_3;Dow Jones_Min_4;Dow Jones_Min_5;DAX_Max;DAX_Max_1;DAX_Max_2;DAX_Max_3;DAX_Max_4;DAX_Max_5;DAX_Min;DAX_Min_1;DAX_Min_2;DAX_Min_3;DAX_Min_4;DAX_Min_5;SMI_Max;SMI_Max_1;SMI_Max_2;SMI_Max_3;SMI_Max_4;SMI_Max_5;SMI_Min;SMI_Min_1;SMI_Min_2;SMI_Min_3;SMI_Min_4;SMI_Min_5;CAC40_Max;CAC40_Max_1;CAC40_Max_2;CAC40_Max_3;CAC40_Max_4;CAC40_Max_5;CAC40_Min;CAC40_Min_1;CAC40_Min_2;CAC40_Min_3;CAC40_Min_4;CAC40_Min_5;FTSE MIB_Max;FTSE MIB_Max_1;FTSE MIB_Max_2;FTSE MIB_Max_3;FTSE MIB_Max_4;FTSE MIB_Max_5;FTSE MIB_Min;FTSE MIB_Min_1;FTSE MIB_Min_2;FTSE MIB_Min_3;FTSE MIB_Min_4;FTSE MIB_Min_5;GBP/PLN_Max;GBP/PLN_Max_1;GBP/PLN_Max_2;GBP/PLN_Max_3;GBP/PLN_Max_4;GBP/PLN_Max_5;GBP/PLN_Min;GBP/PLN_Min_1;GBP/PLN_Min_2;GBP/PLN_Min_3;GBP/PLN_Min_4;GBP/PLN_Min_5;USD/PLN_Max;USD/PLN_Max_1;USD/PLN_Max_2;USD/PLN_Max_3;USD/PLN_Max_4;USD/PLN_Max_5;USD/PLN_Min;USD/PLN_Min_1;USD/PLN_Min_2;USD/PLN_Min_3;USD/PLN_Min_4;USD/PLN_Min_5;EUR/PLN_Max;EUR/PLN_Max_1;EUR/PLN_Max_2;EUR/PLN_Max_3;EUR/PLN_Max_4;EUR/PLN_Max_5;EUR/PLN_Min;EUR/PLN_Min_1;EUR/PLN_Min_2;EUR/PLN_Min_3;EUR/PLN_Min_4;EUR/PLN_Min_5;CHF/PLN_Max;CHF/PLN_Max_1;CHF/PLN_Max_2;CHF/PLN_Max_3;CHF/PLN_Max_4;CHF/PLN_Max_5;CHF/PLN_Min;CHF/PLN_Min_1;CHF/PLN_Min_2;CHF/PLN_Min_3;CHF/PLN_Min_4;CHF/PLN_Min_5
1;20.01.2011;2756,31;2723,58;5966;;;;;;5863,8;;;;;;11845,16;;;;;;11744,77;;;;;;7084,24;;;;;;7008,62;;;;;;6543,81;;;;;;6471,87;;;;;;3989,03;;;;;;3950,3;;;;;;21979,65;;;;;;21648,56;;;;;;4,64;;;;;;4,57;;;;;;2,92;;;;;;2,87;;;;;;3,92;;;;;;3,85;;;;;;3,04;;;;;;2,98;;;;;
2;21.01.2011;2745,29;2697,41;5939,5;5966;;;;;5871,5;5863,8;;;;;11905,48;11845,16;;;;;11822,8;11744,77;;;;;7122,89;7084,24;;;;;7023,69;7008,62;;;;;6595,71;6543,81;;;;;6517,04;6471,87;;;;;4057,97;3989,03;;;;;3979,24;3950,3;;;;;22316,43;21979,65;;;;;21870,76;21648,56;;;;;4,66;4,64;;;;;4,53;4,57;;;;;2,9;2,92;;;;;2,84;2,87;;;;;3,95;3,92;;;;;3,85;3,85;;;;;3,03;3,04;;;;;2,95;2,98;;;;
3;24.01.2011;2742,72;2692,02;5960,5;5939,5;5966;;;;5886,5;5871,5;5863,8;;;;11982,94;11905,48;11845,16;;;;11867,98;11822,8;11744,77;;;;7089,62;7122,89;7084,24;;;;7000,41;7023,69;7008,62;;;;6612,51;6595,71;6543,81;;;;6547,71;6517,04;6471,87;;;;4037,9;4057,97;3989,03;;;;4002,72;3979,24;3950,3;;;;22252,33;22316,43;21979,65;;;;21958,79;21870,76;21648,56;;;;4,58;4,66;4,64;;;;4,52;4,53;4,57;;;;2,87;2,9;2,92;;;;2,83;2,84;2,87;;;;3,9;3,95;3,92;;;;3,85;3,85;3,85;;;;3;3,03;3,04;;;;2,94;2,95;2,98;;;
4;25.01.2011;2734,76;2697,1;5964,4;5960,5;5939,5;5966;;;5903,3;5886,5;5871,5;5863,8;;;11985,97;11982,94;11905,48;11845,16;;;11898,74;11867,98;11822,8;11744,77;;;7102,08;7089,62;7122,89;7084,24;;;7043,64;7000,41;7023,69;7008,62;;;6623,36;6612,51;6595,71;6543,81;;;6578,29;6547,71;6517,04;6471,87;;;4056,69;4037,9;4057,97;3989,03;;;4016,5;4002,72;3979,24;3950,3;;;22291,02;22252,33;22316,43;21979,65;;;21858,18;21958,79;21870,76;21648,56;;;4,55;4,58;4,66;4,64;;;4,47;4,52;4,53;4,57;;;2,86;2,87;2,9;2,92;;;2,82;2,83;2,84;2,87;;;3,89;3,9;3,95;3,92;;;3,85;3,85;3,85;3,85;;;3,02;3;3,03;3,04;;;2,97;2,94;2,95;2,98;;
5;26.01.2011;2725,17;2688,09;6002,5;5964,4;5960,5;5939,5;5966;;5944,8;5903,3;5886,5;5871,5;5863,8;;12020,52;11985,97;11982,94;11905,48;11845,16;;11961,83;11898,74;11867,98;11822,8;11744,77;;7160,86;7102,08;7089,62;7122,89;7084,24;;7087,25;7043,64;7000,41;7023,69;7008,62;;6615,93;6623,36;6612,51;6595,71;6543,81;;6579,69;6578,29;6547,71;6517,04;6471,87;;4066,41;4056,69;4037,9;4057,97;3989,03;;4039,59;4016,5;4002,72;3979,24;3950,3;;22174,89;22291,02;22252,33;22316,43;21979,65;;21936,62;21858,18;21958,79;21870,76;21648,56;;4,52;4,55;4,58;4,66;4,64;;4,44;4,47;4,52;4,53;4,57;;2,85;2,86;2,87;2,9;2,92;;2,82;2,82;2,83;2,84;2,87;;3,9;3,89;3,9;3,95;3,92;;3,85;3,85;3,85;3,85;3,85;;3,02;3,02;3;3,03;3,04;;2,98;2,97;2,94;2,95;2,98;
6;27.01.2011;2730,39;2696,89;5997,8;6002,5;5964,4;5960,5;5939,5;5966;5947,8;5944,8;5903,3;5886,5;5871,5;5863,8;12019,53;12020,52;11985,97;11982,94;11905,48;11845,16;11971,93;11961,83;11898,74;11867,98;11822,8;11744,77;7180,15;7160,86;7102,08;7089,62;7122,89;7084,24;7114,35;7087,25;7043,64;7000,41;7023,69;7008,62;6585,78;6615,93;6623,36;6612,51;6595,71;6543,81;6541,25;6579,69;6578,29;6547,71;6517,04;6471,87;4079,3;4066,41;4056,69;4037,9;4057,97;3989,03;4032,11;4039,59;4016,5;4002,72;3979,24;3950,3;22412,65;22174,89;22291,02;22252,33;22316,43;21979,65;21858,12;21936,62;21858,18;21958,79;21870,76;21648,56;4,54;4,52;4,55;4,58;4,66;4,64;4,48;4,44;4,47;4,52;4,53;4,57;2,85;2,85;2,86;2,87;2,9;2,92;2,82;2,82;2,82;2,83;2,84;2,87;3,92;3,9;3,89;3,9;3,95;3,92;3,86;3,85;3,85;3,85;3,85;3,85;3,03;3,02;3,02;3;3,03;3,04;2,99;2,98;2,97;2,94;2,95;2,98
7;28.01.2011;2708,57;2660,51;5950,9;5997,8;6002,5;5964,4;5960,5;5939,5;5875,5;5947,8;5944,8;5903,3;5886,5;5871,5;12012,42;12019,53;12020,52;11985,97;11982,94;11905,48;11803,04;11971,93;11961,83;11898,74;11867,98;11822,8;7177,23;7180,15;7160,86;7102,08;7089,62;7122,89;7102,8;7114,35;7087,25;7043,64;7000,41;7023,69;6593,23;6585,78;6615,93;6623,36;6612,51;6595,71;6528,13;6541,25;6579,69;6578,29;6547,71;6517,04;4072,64;4079,3;4066,41;4056,69;4037,9;4057,97;4002,32;4032,11;4039,59;4016,5;4002,72;3979,24;22459,34;22412,65;22174,89;22291,02;22252,33;22316,43;22007,37;21858,12;21936,62;21858,18;21958,79;21870,76;4,62;4,54;4,52;4,55;4,58;4,66;4,48;4,48;4,44;4,47;4,52;4,53;2,91;2,85;2,85;2,86;2,87;2,9;2,84;2,82;2,82;2,82;2,83;2,84;3,96;3,92;3,9;3,89;3,9;3,95;3,87;3,86;3,85;3,85;3,85;3,85;3,09;3,03;3,02;3,02;3;3,03;2,98;2,99;2,98;2,97;2,94;2,95
8;31.01.2011;2742,2;2708,82;5881,5;5950,9;5997,8;6002,5;5964,4;5960,5;5814,3;5875,5;5947,8;5944,8;5903,3;5886,5;11891,93;12012,42;12019,53;12020,52;11985,97;11982,94;11817,88;11803,04;11971,93;11961,83;11898,74;11867,98;7107,37;7177,23;7180,15;7160,86;7102,08;7089,62;7033,09;7102,8;7114,35;7087,25;7043,64;7000,41;6514,17;6593,23;6585,78;6615,93;6623,36;6612,51;6467,25;6528,13;6541,25;6579,69;6578,29;6547,71;4018,51;4072,64;4079,3;4066,41;4056,69;4037,9;3953,18;4002,32;4032,11;4039,59;4016,5;4002,72;22210,88;22459,34;22412,65;22174,89;22291,02;22252,33;21715,48;22007,37;21858,12;21936,62;21858,18;21958,79;4,62;4,62;4,54;4,52;4,55;4,58;4,55;4,48;4,48;4,44;4,47;4,52;2,91;2,91;2,85;2,85;2,86;2,87;2,86;2,84;2,82;2,82;2,82;2,83;3,96;3,96;3,92;3,9;3,89;3,9;3,9;3,87;3,86;3,85;3,85;3,85;3,12;3,09;3,03;3,02;3,02;3;3,02;2,98;2,99;2,98;2,97;2,94
9;01.02.2011;2759,27;2717,28;5964,5;5881,5;5950,9;5997,8;6002,5;5964,4;5872;5814,3;5875,5;5947,8;5944,8;5903,3;12050,75;11891,93;12012,42;12019,53;12020,52;11985,97;11892,5;11817,88;11803,04;11971,93;11961,83;11898,74;7190,75;7107,37;7177,23;7180,15;7160,86;7102,08;7105,31;7033,09;7102,8;7114,35;7087,25;7043,64;6571,59;6514,17;6593,23;6585,78;6615,93;6623,36;6492,78;6467,25;6528,13;6541,25;6579,69;6578,29;4078,48;4018,51;4072,64;4079,3;4066,41;4056,69;4019,34;3953,18;4002,32;4032,11;4039,59;4016,5;22525,59;22210,88;22459,34;22412,65;22174,89;22291,02;21997,84;21715,48;22007,37;21858,12;21936,62;21858,18;4,62;4,62;4,62;4,54;4,52;4,55;4,54;4,55;4,48;4,48;4,44;4,47;2,87;2,91;2,91;2,85;2,85;2,86;2,82;2,86;2,84;2,82;2,82;2,82;3,95;3,96;3,96;3,92;3,9;3,89;3,88;3,9;3,87;3,86;3,85;3,85;3,05;3,12;3,09;3,03;3,02;3,02;2,99;3,02;2,98;2,99;2,98;2,97
10;02.02.2011;2750,69;2725,35;6020;5964,5;5881,5;5950,9;5997,8;6002,5;5968,5;5872;5814,3;5875,5;5947,8;5944,8;12057,91;12050,75;11891,93;12012,42;12019,53;12020,52;12018,51;11892,5;11817,88;11803,04;11971,93;11961,83;7222,13;7190,75;7107,37;7177,23;7180,15;7160,86;7160,36;7105,31;7033,09;7102,8;7114,35;7087,25;6587,16;6571,59;6514,17;6593,23;6585,78;6615,93;6512,19;6492,78;6467,25;6528,13;6541,25;6579,69;4089,64;4078,48;4018,51;4072,64;4079,3;4066,41;4049,74;4019,34;3953,18;4002,32;4032,11;4039,59;22715,66;22525,59;22210,88;22459,34;22412,65;22174,89;22515,14;21997,84;21715,48;22007,37;21858,12;21936,62;4,6;4,62;4,62;4,62;4,54;4,52;4,52;4,54;4,55;4,48;4,48;4,44;2,84;2,87;2,91;2,91;2,85;2,85;2,81;2,82;2,86;2,84;2,82;2,82;3,92;3,95;3,96;3,96;3,92;3,9;3,88;3,88;3,9;3,87;3,86;3,85;3,04;3,05;3,12;3,09;3,03;3,02;2,99;2,99;3,02;2,98;2,99;2,98
