ID;Data;WIG20_MAX_dif;WIG20_MAX;WIG20_MIN;FTSE 100_Max_dif;FTSE 100_Max;FTSE 100_Min_dif;FTSE 100_Min;Dow Jones_Max_dif;Dow Jones_Max;Dow Jones_Min_dif;Dow Jones_Min;DAX_Max_dif;DAX_Max;DAX_Min_dif;DAX_Min;SMI_Max_dif;SMI_Max;SMI_Min_dif;SMI_Min;CAC40_Max_dif;CAC40_Max;CAC40_Min_dif;CAC40_Min;FTSE MIB_Max_dif;FTSE MIB_Max;FTSE MIB_Min_dif;FTSE MIB_Min;GBP/PLN_Max_dif;GBP/PLN_Max;GBP/PLN_Min_dif;GBP/PLN_Min;USD/PLN_Max_dif;USD/PLN_Max;USD/PLN_Min_dif;USD/PLN_Min;EUR/PLN_Max_dif;EUR/PLN_Max;EUR/PLN_Min_dif;EUR/PLN_Min;CHF/PLN_Max_dif;CHF/PLN_Max;CHF/PLN_Min_dif;CHF/PLN_Min;
1;20.01.2011;;2756,31;2723,58;;5966;;5863,8;;11845,16;;11744,77;;7084,24;;7008,62;;6543,81;;6471,87;;3989,03;;3950,3;;21979,65;;21648,56;;4,64;;4,57;;2,92;;2,87;;3,92;;3,85;;3,04;;2,98;
2;21.01.2011;-11,02;2745,29;2697,41;-26,50;5939,5;7,70;5871,5;60,32;11905,48;78,03;11822,8;38,65;7122,89;15,07;7023,69;51,90;6595,71;45,17;6517,04;68,94;4057,97;28,94;3979,24;336,78;22316,43;222,20;21870,76;0,02;4,66;-0,04;4,53;-0,02;2,9;-0,03;2,84;0,03;3,95;0,00;3,85;-0,01;3,03;-0,03;2,95;
3;24.01.2011;-2,57;2742,72;2692,02;21,00;5960,5;15,00;5886,5;77,46;11982,94;45,18;11867,98;-33,27;7089,62;-23,28;7000,41;16,80;6612,51;30,67;6547,71;-20,07;4037,9;23,48;4002,72;-64,10;22252,33;88,03;21958,79;-0,08;4,58;-0,01;4,52;-0,03;2,87;-0,01;2,83;-0,05;3,9;0,00;3,85;-0,03;3;-0,01;2,94;
4;25.01.2011;-7,96;2734,76;2697,1;3,90;5964,4;16,80;5903,3;3,03;11985,97;30,76;11898,74;12,46;7102,08;43,23;7043,64;10,85;6623,36;30,58;6578,29;18,79;4056,69;13,78;4016,5;38,69;22291,02;-100,61;21858,18;-0,03;4,55;-0,05;4,47;-0,01;2,86;-0,01;2,82;-0,01;3,89;0,00;3,85;0,02;3,02;0,03;2,97;
5;26.01.2011;-9,59;2725,17;2688,09;38,10;6002,5;41,50;5944,8;34,55;12020,52;63,09;11961,83;58,78;7160,86;43,61;7087,25;-7,43;6615,93;1,40;6579,69;9,72;4066,41;23,09;4039,59;-116,13;22174,89;78,44;21936,62;-0,03;4,52;-0,03;4,44;-0,01;2,85;0,00;2,82;0,01;3,9;0,00;3,85;0,00;3,02;0,01;2,98;
6;27.01.2011;5,22;2730,39;2696,89;-4,70;5997,8;3,00;5947,8;-0,99;12019,53;10,10;11971,93;19,29;7180,15;27,10;7114,35;-30,15;6585,78;-38,44;6541,25;12,89;4079,3;-7,48;4032,11;237,76;22412,65;-78,50;21858,12;0,02;4,54;0,04;4,48;0,00;2,85;0,00;2,82;0,02;3,92;0,01;3,86;0,01;3,03;0,01;2,99;
7;28.01.2011;-21,82;2708,57;2660,51;-46,90;5950,9;-72,30;5875,5;-7,11;12012,42;-168,89;11803,04;-2,92;7177,23;-11,55;7102,8;7,45;6593,23;-13,12;6528,13;-6,66;4072,64;-29,79;4002,32;46,69;22459,34;149,25;22007,37;0,08;4,62;0,00;4,48;0,06;2,91;0,02;2,84;0,04;3,96;0,01;3,87;0,06;3,09;-0,01;2,98;
8;31.01.2011;33,63;2742,2;2708,82;-69,40;5881,5;-61,20;5814,3;-120,49;11891,93;14,84;11817,88;-69,86;7107,37;-69,71;7033,09;-79,06;6514,17;-60,88;6467,25;-54,13;4018,51;-49,14;3953,18;-248,46;22210,88;-291,89;21715,48;0,00;4,62;0,07;4,55;0,00;2,91;0,02;2,86;0,00;3,96;0,03;3,9;0,03;3,12;0,04;3,02;
9;01.02.2011;17,07;2759,27;2717,28;83,00;5964,5;57,70;5872;158,82;12050,75;74,62;11892,5;83,38;7190,75;72,22;7105,31;57,42;6571,59;25,53;6492,78;59,97;4078,48;66,16;4019,34;314,71;22525,59;282,36;21997,84;0,00;4,62;-0,01;4,54;-0,04;2,87;-0,04;2,82;-0,01;3,95;-0,02;3,88;-0,07;3,05;-0,03;2,99;
10;02.02.2011;-8,58;2750,69;2725,35;55,50;6020;96,50;5968,5;7,16;12057,91;126,01;12018,51;31,38;7222,13;55,05;7160,36;15,57;6587,16;19,41;6512,19;11,16;4089,64;30,40;4049,74;190,07;22715,66;517,30;22515,14;-0,02;4,6;-0,02;4,52;-0,03;2,84;-0,01;2,81;-0,03;3,92;0,00;3,88;-0,01;3,04;0,00;2,99;
11;03.02.2011;15,33;2766,02;2728,82;-23,70;5996,3;-18,00;5950,5;22,63;12080,54;-37,46;11981,05;-23,15;7198,98;-16,28;7144,08;-22,88;6564,28;7,51;6519,7;-30,39;4059,25;-40,62;4009,12;42,37;22758,03;-197,43;22317,71;0,04;4,64;0,05;4,57;0,03;2,87;0,01;2,82;0,00;3,92;0,00;3,88;0,00;3,04;0,00;2,99;
12;04.02.2011;-3,01;2763,01;2741,18;28,20;6024,5;34,80;5985,3;11,88;12092,42;44,73;12025,78;27,66;7226,64;42,16;7186,24;24,86;6589,14;33,21;6552,91;0,38;4059,63;17,80;4026,92;-40,93;22717,1;231,53;22549,24;0,01;4,65;0,01;4,58;0,00;2,87;0,03;2,85;0,00;3,92;-0,02;3,86;0,00;3,04;-0,01;2,98;
13;07.02.2011;-1,94;2761,07;2732,7;30,30;6054,8;11,00;5996,3;96,34;12188,76;66,52;12092,3;61,02;7287,66;27,81;7214,05;64,32;6653,46;45,43;6598,34;39,01;4098,64;25,69;4052,61;236,03;22953,13;89,99;22639,23;-0,02;4,63;-0,02;4,56;0,00;2,87;-0,02;2,83;-0,02;3,9;-0,02;3,84;-0,03;3,01;-0,04;2,94;
14;08.02.2011;-11,73;2749,34;2725,77;36,53;6091,33;35,50;6031,8;50,03;12238,79;57,75;12150,05;37,37;7325,03;58,75;7272,8;-14,58;6638,88;5,43;6603,77;10,74;4109,38;25,90;4078,51;-145,47;22807,66;-67,60;22571,63;-0,02;4,61;0,00;4,56;-0,01;2,86;0,00;2,83;0,00;3,9;0,02;3,86;-0,02;2,99;0,00;2,94;
15;09.02.2011;-15,01;2734,33;2700,96;-11,83;6079,5;16,00;6047,8;15,44;12254,23;38,14;12188,19;25,75;7350,78;37,64;7310,44;19,31;6658,19;17,84;6621,61;11,06;4120,44;12,21;4090,72;18,72;22826,38;15,21;22586,84;0,00;4,61;-0,01;4,55;0,01;2,87;0,00;2,83;0,02;3,92;0,01;3,87;-0,01;2,98;0,00;2,94;
16;10.02.2011;-7,26;2727,07;2694,55;-35,20;6044,3;-63,80;5984;-14,57;12239,66;-31,25;12156,94;-9,91;7340,87;-40,91;7269,53;-40,16;6618,03;-55,62;6565,99;-25,30;4095,14;-49,09;4041,63;-179,88;22646,5;-288,69;22298,15;0,05;4,66;0,02;4,57;0,03;2,9;0,02;2,85;0,02;3,94;0,02;3,89;0,02;3;0,02;2,96;
17;11.02.2011;18,06;2745,13;2705,2;25,50;6069,8;-13,20;5970,8;46,28;12285,94;23,54;12180,48;49,61;7390,48;14,34;7283,87;51,95;6669,98;14,77;6580,76;26,24;4121,38;-2,39;4039,24;144,77;22791,27;47,35;22345,5;0,02;4,68;0,04;4,61;0,02;2,92;0,03;2,88;0,00;3,94;0,01;3,9;0,00;3;0,00;2,96;
18;14.02.2011;-26,27;2718,86;2702,62;21,50;6091,3;70,00;6040,8;-9,73;12276,21;55,43;12235,91;33,88;7424,36;94,54;7378,41;30,30;6700,28;81,83;6662,59;9,02;4130,4;50,42;4089,66;79,30;22870,57;232,50;22578;0,03;4,71;0,00;4,61;0,02;2,94;0,00;2,88;0,02;3,96;0,00;3,9;0,03;3,03;0,00;2,96;
19;15.02.2011;-4,06;2714,8;2687,36;-19,00;6072,3;-19,50;6021,3;-8,55;12267,66;-42,64;12193,27;-3,67;7420,69;-2,17;7376,24;-3,33;6696,95;2,38;6664,97;-11,64;4118,76;-4,16;4085,5;68,71;22939,28;28,71;22606,71;0,00;4,71;0,04;4,65;-0,01;2,93;0,01;2,89;0,00;3,96;0,00;3,9;0,00;3,03;0,02;2,98;
20;16.02.2011;-11,53;2703,27;2641,83;22,00;6094,3;21,00;6042,3;35,50;12303,16;26,52;12219,79;17,73;7438,42;23,58;7399,82;24,82;6721,77;19,44;6684,41;51,11;4169,87;35,96;4121,46;233,03;23172,31;270,81;22877,52;-0,01;4,7;-0,04;4,61;-0,02;2,91;-0,01;2,88;-0,02;3,94;-0,01;3,89;-0,01;3,02;0,00;2,98;
